STATE,STATENAME,ST_CASE,VEH_NO,TRAILER_NO,VehicleDescriptor,VINDecodedOn,VINDecodeError,VehicleTypeId,VehicleType,ManufacturerFullNameId,ManufacturerFullName,MakeId,Make,ModelId,Model,ModelYear,Series,Trim,PlantCountryId,PlantCountry,PlantState,PlantCity,PlantCompanyName,Note,BodyClassId,BodyClass,GrossVehicleWeightRatingFromId,GrossVehicleWeightRatingFrom,GrossVehicleWeightRatingToId,GrossVehicleWeightRatingTo,TrailerBodyTypeId,TrailerBodyType,TrailerTypeConnectionId,TrailerTypeConnection,TrailerLengthFT,OtherTrailerInfo,AxlesCount,AxleConfigurationId,AxleConfiguration
6,California,61426,3,1,1LH930UH*71******,2021-09-08 14:51:28,0,6,TRAILER,3729,"LANDOLL COMPANY, LLC",2123,LANDOLL CORPORATION,5894,Landoll Corporation,2007,Model 930C,,6,UNITED STATES (USA),KANSAS,MARYSVILLE,Landoll Corporation,"Plant of Manufacture: Landoll Corporation   1900 North Street Marysville, KS, 66508 USA",61,Trailer,9,"Class 8: 33,001 lb and above (14,969 kg and above)",,,88,Flatbed - Single Drop,5,Fifth Wheel,,"Trailer Length (feet): 48, 49",2,3,Tandem
6,California,61438,2,1,1UYFS124*RA******,2021-09-08 14:51:28,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,1994,,,6,UNITED STATES (USA),ALABAMA,ENTERPRISE,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,4,Straight Semi/Semi Trailer,24.000,,1,,
6,California,61438,2,2,1UYFF224*RA******,2021-09-08 14:51:28,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,1994,,,6,UNITED STATES (USA),ALABAMA,ENTERPRISE,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,1,Ball Type Pull,24.000,Full (pull),2,,
6,California,61439,3,1,1DW1A532*DS******,2021-09-08 14:51:29,0,6,TRAILER,13506,"STOUGHTON TRAILERS, INC.",3414,STOUGHTON TRAILERS,7701,Stoughton trailers,2013,,,6,UNITED STATES (USA),WISCONSIN,STOUGHTON,"Stoughton Trailers, INC",,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
6,California,61442,2,1,5NHUCH42*GB******,2021-09-08 14:51:29,0,6,TRAILER,1084,"FOREST RIVER, INC.",531,FOREST RIVER,3009,Challenger,2016,,,6,UNITED STATES (USA),OREGON,INDEPENDENCE,,"Address: 900 Walnut Street, 97351",61,Trailer,,,,,16,Utility Trailer,1,Ball Type Pull,14.000,,2,,
6,California,61479,2,1,1TTF4820*22******,2021-09-08 14:51:29,0,6,TRAILER,8231,TRANSCRAFT CORPORATION,10511,TRANSCRAFT,28401,Transcraft,2002,,,6,UNITED STATES (USA),KENTUCKY,MOUNT STERLING,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,48.000,Platform,2,,
6,California,61483,2,1,1GRAP062*EJ******,2021-09-08 14:51:30,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2014,,,6,UNITED STATES (USA),ARKANSAS,JONESBORO,,"Jacksonville Florida (ended 02/1988); Jonesboro, Arkansas (effective 09/03/02)",61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,53.000,Dry Freight Van / Reefer Van / Insulated Van,2,,
6,California,61512,4,1,1UYVS253*GU******,2021-09-08 14:51:30,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2016,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
6,California,61514,2,1,49THB142*61******,2021-09-08 14:51:31,0,6,TRAILER,3943,"CONTRACT MANUFACTURER, LLC",1871,CONTRACT MANUFACTURER,5360,CONTRACT MANUFACTURER,2006,,,6,UNITED STATES (USA),OKLAHOMA,MADILL,,,61,Trailer,,,,,14,Horse Trailer,14,Bumper Pull,14.000,,2,,
6,California,61516,1,1,1UYVS253*XM******,2021-09-08 14:51:31,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,1999,,,6,UNITED STATES (USA),VIRGINIA,MARION,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
